product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
99638,Wedding Ring Mystic Winter,wedding_ring,GWD-MA024,1881.000000,790.000000,14812.000000,1,4297,exclusive,688,Wedding Rings,glgb,False
85163,Men's Wedding Ring Brilliant Twinkle,wedding_ring,X1300,863.000000,388.000000,6472.000000,1,159,classic,690,Men’s Wedding Rings,glgb,men
105823,Unique Moon 8 mm,wedding_ring,GWD-N1102-8,1695.000000,678.000000,17157.000000,1,4090,twinset,0,,glgb,False
102642,GLAMIRA Brooch Laurenzia,brooch,Laurenzia,866.000000,580.000000,9524.000000,1,,,645,Brooch,glgb,women
101330,Men's Ring Coalton,ring,MRI-020,2053.000000,1170.000000,45709.000000,1,4378,fashion,617,Rings,glgb,men
105788,Women's Ring Strong Strip 10 mm,wedding_ring,GWD-N1099-10-W,835.000000,334.000000,8409.000000,1,4090,twinset,0,,glgb,women
110720,GLAMIRA Bracelet Bliths 16 cm,bracelet,TBL-005-16,1228.000000,859.000000,7047.000000,1,5167,tennis_bracelet,0,,glgb,women
96509,Couple's Ring Alluring Balance 5 mm,wedding_ring,GWD-C191001-5,1386.000000,554.000000,14134.000000,1,164,simple,688,Wedding Rings,glgb,False
90552,Wedding Ring Immortal Star,wedding_ring,DSC_3881,1574.000000,708.000000,11856.000000,1,164,simple,688,Wedding Rings,glgb,False
99682,Women's Wedding Ring Exotic Birth,wedding_ring,GWD-MA020-W,1249.000000,437.000000,5398.000000,1,4297,exclusive,689,Women’s Wedding Rings,glgb,women
106902,Women's Wedding Ring Unique Trueness 6 mm,wedding_ring,GWD-H14319230-W,596.000000,238.000000,7875.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
98168,Women's Earring Hallie,earring,DE-038,528.000000,396.000000,6114.000000,1,5256,studs,602,Earrings,glgb,women
106546,Wedding Ring Charming Queen 4 mm,wedding_ring,GWD-H14319100,870.000000,348.000000,8775.000000,1,4090,twinset,688,Wedding Rings,glgb,False
