2025-09-21 23:35:46,087 INFO: Đã insert thành công 200000 product_id vào bảng products trong crawl.db
2025-09-21 23:36:26,723 WARNING: Lỗi HTTP 429 - product id: 2229681, thử lại 1/3
2025-09-21 23:36:27,069 WARNING: Lỗi HTTP 429 - product id: 2264839, thử lại 1/3
2025-09-21 23:36:27,260 WARNING: Lỗi HTTP 429 - product id: 2288229, thử lại 1/3
2025-09-21 23:36:27,322 WARNING: Lỗi HTTP 429 - product id: 2301451, thử lại 1/3
2025-09-21 23:36:27,369 WARNING: Lỗi HTTP 429 - product id: 2301923, thử lại 1/3
2025-09-21 23:36:27,370 WARNING: Lỗi HTTP 429 - product id: 2302095, thử lại 1/3
2025-09-21 23:36:27,512 WARNING: Lỗi HTTP 429 - product id: 2340533, thử lại 1/3
2025-09-21 23:36:27,520 WARNING: Lỗi HTTP 429 - product id: 2340603, thử lại 1/3
2025-09-21 23:36:27,521 WARNING: Lỗi HTTP 429 - product id: 2340639, thử lại 1/3
2025-09-21 23:36:27,565 WARNING: Lỗi HTTP 429 - product id: 2340693, thử lại 1/3
2025-09-21 23:36:27,573 WARNING: Lỗi HTTP 429 - product id: 2340767, thử lại 1/3
2025-09-21 23:36:27,903 WARNING: Lỗi HTTP 429 - product id: 2365729, thử lại 1/3
2025-09-21 23:36:27,967 WARNING: Lỗi HTTP 429 - product id: 2365849, thử lại 1/3
2025-09-21 23:36:28,736 WARNING: Lỗi HTTP 429 - product id: 2415057, thử lại 1/3
2025-09-21 23:36:29,284 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 2386945
2025-09-21 23:36:29,316 WARNING: Lỗi HTTP 429 - product id: 2501329, thử lại 1/3
2025-09-21 23:36:29,352 WARNING: Lỗi HTTP 429 - product id: 2523347, thử lại 1/3
2025-09-21 23:36:29,375 WARNING: Lỗi HTTP 429 - product id: 2523777, thử lại 1/3
2025-09-21 23:36:29,413 WARNING: Lỗi HTTP 429 - product id: 2534177, thử lại 1/3
2025-09-21 23:36:29,820 WARNING: Lỗi HTTP 429 - product id: 2563983, thử lại 1/3
2025-09-21 23:36:30,269 WARNING: Lỗi HTTP 429 - product id: 2582185, thử lại 1/3
2025-09-21 23:36:32,625 WARNING: Lỗi HTTP 429 - product id: 2696577, thử lại 1/3
2025-09-21 23:36:32,727 WARNING: Lỗi HTTP 429 - product id: 2701441, thử lại 1/3
2025-09-21 23:36:32,773 WARNING: Lỗi HTTP 429 - product id: 2736479, thử lại 1/3
2025-09-21 23:36:32,865 WARNING: Lỗi HTTP 429 - product id: 2749117, thử lại 1/3
2025-09-21 23:36:32,871 WARNING: Lỗi HTTP 429 - product id: 2749265, thử lại 1/3
2025-09-21 23:36:33,077 WARNING: Lỗi HTTP 429 - product id: 2749327, thử lại 1/3
2025-09-21 23:36:35,012 WARNING: Lỗi HTTP 429 - product id: 2869351, thử lại 1/3
2025-09-21 23:36:35,265 WARNING: Lỗi HTTP 429 - product id: 2918853, thử lại 1/3
2025-09-21 23:36:35,519 WARNING: Lỗi HTTP 429 - product id: 3004571, thử lại 1/3
2025-09-21 23:36:35,771 WARNING: Lỗi HTTP 429 - product id: 2696577, thử lại 2/3
2025-09-21 23:36:35,775 WARNING: Lỗi HTTP 429 - product id: 3035487, thử lại 1/3
2025-09-21 23:36:35,846 WARNING: Lỗi HTTP 429 - product id: 3041841, thử lại 1/3
2025-09-21 23:36:35,915 WARNING: Lỗi HTTP 429 - product id: 3045329, thử lại 1/3
2025-09-21 23:36:35,917 WARNING: Lỗi HTTP 429 - product id: 2736479, thử lại 2/3
2025-09-21 23:36:35,973 WARNING: Lỗi HTTP 429 - product id: 3045351, thử lại 1/3
2025-09-21 23:36:35,982 WARNING: Lỗi HTTP 429 - product id: 3045399, thử lại 1/3
2025-09-21 23:36:36,017 WARNING: Lỗi HTTP 429 - product id: 3045405, thử lại 1/3
2025-09-21 23:36:36,047 WARNING: Lỗi HTTP 429 - product id: 3045413, thử lại 1/3
2025-09-21 23:36:36,065 WARNING: Lỗi HTTP 429 - product id: 3045417, thử lại 1/3
2025-09-21 23:36:36,072 WARNING: Lỗi HTTP 429 - product id: 3045421, thử lại 1/3
2025-09-21 23:36:36,165 WARNING: Lỗi HTTP 429 - product id: 2749327, thử lại 2/3
2025-09-21 23:36:36,172 WARNING: Lỗi HTTP 429 - product id: 3045489, thử lại 1/3
2025-09-21 23:36:36,560 WARNING: Lỗi HTTP 429 - product id: 3052193, thử lại 1/3
2025-09-21 23:36:36,561 WARNING: Lỗi HTTP 429 - product id: 3052181, thử lại 1/3
2025-09-21 23:36:37,113 WARNING: Lỗi HTTP 429 - product id: 3056255, thử lại 1/3
2025-09-21 23:36:42,279 INFO: Đã commit batch 2 (1000 sản phẩm)
2025-09-21 23:36:42,310 INFO: Đã ghi 997 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_2_997_ids.csv
2025-09-21 23:36:42,352 INFO: Bắt đầu crawl batch 3 (1000 sản phẩm)
2025-09-21 23:36:45,658 WARNING: Lỗi HTTP 429 - product id: 3714775, thử lại 1/3
2025-09-21 23:36:46,057 WARNING: Lỗi HTTP 429 - product id: 3724495, thử lại 1/3
2025-09-21 23:36:47,937 WARNING: Lỗi HTTP 429 - product id: 3933679, thử lại 1/3
2025-09-21 23:36:47,960 WARNING: Lỗi HTTP 429 - product id: 3940953, thử lại 1/3
2025-09-21 23:36:48,014 WARNING: Lỗi HTTP 429 - product id: 3950287, thử lại 1/3
2025-09-21 23:36:48,560 WARNING: Lỗi HTTP 429 - product id: 3998697, thử lại 1/3
2025-09-21 23:36:49,555 WARNING: Lỗi HTTP 429 - product id: 4115549, thử lại 1/3
2025-09-21 23:36:50,314 WARNING: Lỗi HTTP 429 - product id: 4210909, thử lại 1/3
2025-09-21 23:36:50,407 WARNING: Lỗi HTTP 429 - product id: 4213917, thử lại 1/3
2025-09-21 23:36:50,472 WARNING: Lỗi HTTP 429 - product id: 4247127, thử lại 1/3
2025-09-21 23:36:50,558 WARNING: Lỗi HTTP 429 - product id: 4266205, thử lại 1/3
2025-09-21 23:36:50,660 WARNING: Lỗi HTTP 429 - product id: 4273119, thử lại 1/3
2025-09-21 23:36:50,661 WARNING: Lỗi HTTP 429 - product id: 4278325, thử lại 1/3
2025-09-21 23:36:50,765 WARNING: Lỗi HTTP 429 - product id: 4301529, thử lại 1/3
2025-09-21 23:36:51,108 WARNING: Lỗi HTTP 429 - product id: 3940953, thử lại 2/3
2025-09-21 23:36:52,807 WARNING: Lỗi HTTP 429 - product id: 4586309, thử lại 1/3
2025-09-21 23:36:52,856 WARNING: Lỗi HTTP 429 - product id: 4586773, thử lại 1/3
2025-09-21 23:36:52,921 WARNING: Lỗi HTTP 429 - product id: 4598437, thử lại 1/3
2025-09-21 23:36:52,970 WARNING: Lỗi HTTP 429 - product id: 4615459, thử lại 1/3
2025-09-21 23:36:53,007 WARNING: Lỗi HTTP 429 - product id: 4616527, thử lại 1/3
2025-09-21 23:36:53,708 WARNING: Lỗi HTTP 429 - product id: 4266205, thử lại 2/3
2025-09-21 23:36:53,756 WARNING: Lỗi HTTP 429 - product id: 4786121, thử lại 1/3
2025-09-21 23:36:53,811 WARNING: Lỗi HTTP 429 - product id: 4822967, thử lại 1/3
2025-09-21 23:36:53,864 WARNING: Lỗi HTTP 429 - product id: 4895279, thử lại 1/3
2025-09-21 23:36:53,899 WARNING: Lỗi HTTP 429 - product id: 4898363, thử lại 1/3
2025-09-21 23:36:53,905 WARNING: Lỗi HTTP 429 - product id: 4898413, thử lại 1/3
2025-09-21 23:36:54,069 WARNING: Lỗi HTTP 429 - product id: 4938621, thử lại 1/3
2025-09-21 23:36:54,363 WARNING: Lỗi HTTP 429 - product id: 4982469, thử lại 1/3
2025-09-21 23:36:56,056 WARNING: Lỗi HTTP 429 - product id: 5164377, thử lại 1/3
2025-09-21 23:36:56,058 WARNING: Lỗi HTTP 429 - product id: 5173827, thử lại 1/3
2025-09-21 23:36:57,666 WARNING: Lỗi HTTP 429 - product id: 5491301, thử lại 1/3
2025-09-21 23:36:57,706 WARNING: Lỗi HTTP 429 - product id: 5501123, thử lại 1/3
2025-09-21 23:36:57,804 WARNING: Lỗi HTTP 429 - product id: 5511351, thử lại 1/3
2025-09-21 23:36:57,806 WARNING: Lỗi HTTP 429 - product id: 5515607, thử lại 1/3
2025-09-21 23:37:00,948 INFO: Đã commit batch 3 (1000 sản phẩm)
2025-09-21 23:37:00,977 INFO: Đã ghi 1000 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_3_1000_ids.csv
2025-09-21 23:37:01,019 INFO: Bắt đầu crawl batch 4 (1000 sản phẩm)
2025-09-21 23:37:02,170 WARNING: Lỗi HTTP 429 - product id: 5977505, thử lại 1/3
2025-09-21 23:37:02,522 WARNING: Lỗi HTTP 429 - product id: 6073507, thử lại 1/3
2025-09-21 23:37:02,619 WARNING: Lỗi HTTP 429 - product id: 6088315, thử lại 1/3
2025-09-21 23:37:02,865 WARNING: Lỗi HTTP 429 - product id: 6139579, thử lại 1/3
2025-09-21 23:37:04,579 WARNING: Lỗi HTTP 429 - product id: 6398301, thử lại 1/3
2025-09-21 23:37:04,784 WARNING: Lỗi HTTP 429 - product id: 6419325, thử lại 1/3
2025-09-21 23:37:04,875 WARNING: Lỗi HTTP 429 - product id: 6468703, thử lại 1/3
2025-09-21 23:37:05,031 WARNING: Lỗi HTTP 429 - product id: 6474505, thử lại 1/3
2025-09-21 23:37:05,668 WARNING: Lỗi HTTP 429 - product id: 6618607, thử lại 1/3
2025-09-21 23:37:05,929 WARNING: Lỗi HTTP 429 - product id: 6639457, thử lại 1/3
2025-09-21 23:37:05,968 WARNING: Lỗi HTTP 429 - product id: 6641569, thử lại 1/3
2025-09-21 23:37:06,073 WARNING: Lỗi HTTP 429 - product id: 6707617, thử lại 1/3
2025-09-21 23:37:06,175 WARNING: Lỗi HTTP 429 - product id: 6714885, thử lại 1/3
2025-09-21 23:37:06,221 WARNING: Lỗi HTTP 429 - product id: 6715877, thử lại 1/3
2025-09-21 23:37:06,286 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 6528635
2025-09-21 23:37:06,471 WARNING: Lỗi HTTP 429 - product id: 6765501, thử lại 1/3
2025-09-21 23:37:08,051 WARNING: Lỗi HTTP 429 - product id: 6468703, thử lại 2/3
2025-09-21 23:37:08,244 WARNING: Lỗi HTTP 429 - product id: 7025003, thử lại 1/3
2025-09-21 23:37:09,026 WARNING: Lỗi HTTP 429 - product id: 7101629, thử lại 1/3
2025-09-21 23:37:09,123 WARNING: Lỗi HTTP 429 - product id: 7101669, thử lại 1/3
2025-09-21 23:37:10,714 WARNING: Lỗi HTTP 429 - product id: 7208395, thử lại 1/3
2025-09-21 23:37:10,864 WARNING: Lỗi HTTP 429 - product id: 7221439, thử lại 1/3
2025-09-21 23:37:10,875 WARNING: Lỗi HTTP 429 - product id: 7221515, thử lại 1/3
2025-09-21 23:37:10,879 WARNING: Lỗi HTTP 429 - product id: 7221953, thử lại 1/3
2025-09-21 23:37:11,474 WARNING: Lỗi HTTP 429 - product id: 7269797, thử lại 1/3
2025-09-21 23:37:11,524 WARNING: Lỗi HTTP 429 - product id: 7278189, thử lại 1/3
2025-09-21 23:37:11,524 WARNING: Lỗi HTTP 429 - product id: 7276491, thử lại 1/3
2025-09-21 23:37:11,939 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 7253439
2025-09-21 23:37:14,922 WARNING: Lỗi HTTP 429 - product id: 7697437, thử lại 1/3
2025-09-21 23:37:14,986 WARNING: Lỗi HTTP 429 - product id: 7706720, thử lại 1/3
2025-09-21 23:37:19,575 INFO: Đã commit batch 4 (1000 sản phẩm)
2025-09-21 23:37:19,604 INFO: Đã ghi 998 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_4_998_ids.csv
2025-09-21 23:37:19,647 INFO: Bắt đầu crawl batch 5 (1000 sản phẩm)
2025-09-21 23:37:23,245 WARNING: Lỗi HTTP 429 - product id: 8293946, thử lại 1/3
2025-09-21 23:37:23,454 WARNING: Lỗi HTTP 429 - product id: 8309538, thử lại 1/3
2025-09-21 23:37:23,525 WARNING: Lỗi HTTP 429 - product id: 8311918, thử lại 1/3
2025-09-21 23:37:23,525 WARNING: Lỗi HTTP 429 - product id: 8313521, thử lại 1/3
2025-09-21 23:37:24,359 WARNING: Lỗi HTTP 429 - product id: 8407818, thử lại 1/3
2025-09-21 23:37:25,445 WARNING: Lỗi HTTP 429 - product id: 8548951, thử lại 1/3
2025-09-21 23:37:25,500 WARNING: Lỗi HTTP 429 - product id: 8557074, thử lại 1/3
2025-09-21 23:37:25,505 WARNING: Lỗi HTTP 429 - product id: 8557109, thử lại 1/3
2025-09-21 23:37:25,549 WARNING: Lỗi HTTP 429 - product id: 8557214, thử lại 1/3
2025-09-21 23:37:26,856 WARNING: Lỗi HTTP 429 - product id: 8887383, thử lại 1/3
2025-09-21 23:37:27,509 WARNING: Lỗi HTTP 429 - product id: 8950585, thử lại 1/3
2025-09-21 23:37:27,898 WARNING: Lỗi HTTP 429 - product id: 9359573, thử lại 1/3
2025-09-21 23:37:28,004 WARNING: Lỗi HTTP 429 - product id: 9362751, thử lại 1/3
2025-09-21 23:37:29,653 WARNING: Lỗi HTTP 429 - product id: 9477210, thử lại 1/3
2025-09-21 23:37:31,916 WARNING: Lỗi HTTP 429 - product id: 9858772, thử lại 1/3
2025-09-21 23:37:32,201 WARNING: Lỗi HTTP 429 - product id: 9882302, thử lại 1/3
2025-09-21 23:37:32,250 WARNING: Lỗi HTTP 429 - product id: 9882333, thử lại 1/3
2025-09-21 23:37:32,261 WARNING: Lỗi HTTP 429 - product id: 9882341, thử lại 1/3
2025-09-21 23:37:32,549 WARNING: Lỗi HTTP 429 - product id: 9882617, thử lại 1/3
2025-09-21 23:37:32,561 WARNING: Lỗi HTTP 429 - product id: 9882658, thử lại 1/3
2025-09-21 23:37:32,675 WARNING: Lỗi HTTP 429 - product id: 9946436, thử lại 1/3
2025-09-21 23:37:32,814 WARNING: Lỗi HTTP 429 - product id: 9967096, thử lại 1/3
2025-09-21 23:37:33,667 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 9969307
2025-09-21 23:37:35,012 WARNING: Lỗi HTTP 429 - product id: 10069642, thử lại 1/3
2025-09-21 23:37:35,499 WARNING: Lỗi HTTP 429 - product id: 10104787, thử lại 1/3
2025-09-21 23:37:35,560 WARNING: Lỗi HTTP 429 - product id: 10105800, thử lại 1/3
2025-09-21 23:37:36,221 WARNING: Lỗi HTTP 404: Không tim thấy product id - product id: 10102128
2025-09-21 23:37:38,667 INFO: Đã commit batch 5 (1000 sản phẩm)
2025-09-21 23:37:38,696 INFO: Đã ghi 998 sản phẩm vào file /home/quannh/projects_de/project_2/output/products_batch_5_998_ids.csv
2025-09-21 23:37:38,739 INFO: Bắt đầu crawl batch 6 (1000 sản phẩm)
2025-09-21 23:37:38,815 WARNING: Lỗi HTTP 429 - product id: 10157390, thử lại 1/3
2025-09-21 23:37:38,941 WARNING: Lỗi HTTP 429 - product id: 10160440, thử lại 1/3
2025-09-21 23:37:38,990 WARNING: Lỗi HTTP 429 - product id: 10161874, thử lại 1/3
2025-09-21 23:37:39,096 WARNING: Lỗi HTTP 429 - product id: 10164574, thử lại 1/3
2025-09-21 23:37:39,197 WARNING: Lỗi HTTP 429 - product id: 10172806, thử lại 1/3
2025-09-21 23:37:39,240 WARNING: Lỗi HTTP 429 - product id: 10172970, thử lại 1/3
2025-09-21 23:37:39,244 WARNING: Lỗi HTTP 429 - product id: 10173249, thử lại 1/3
2025-09-21 23:37:39,295 WARNING: Lỗi HTTP 429 - product id: 10173282, thử lại 1/3
2025-09-21 23:37:39,355 WARNING: Lỗi HTTP 429 - product id: 10173442, thử lại 1/3
